,市場平均,配当コア25 年1回,配当コア25 半年,配当コア15 年1回,配当コア40 年1回,利回りだけ上位25,トレンド条件なし25,減配歴チェックなし25
2022-10-03,2.0486059695083254,1.0021514500635873,1.0905514071541884,1.073761731452648,0.9953490445481611,1.2438423105193375,1.2006638233410079,1.006866436940985
2022-10-04,2.108471730107365,1.0369681167757983,1.1281347281900853,1.1156269247450037,1.0300514267247107,1.2843836471847705,1.242323142551471,1.043156869542342
2022-10-05,2.1119665802342418,1.037893831757186,1.1272535751711088,1.1142712587336183,1.0312171981721907,1.2809356064966082,1.2387225982041927,1.042567316004715
2022-10-06,2.1253706557217797,1.0466308679343017,1.1384937986955106,1.1238446880793638,1.0403737184861612,1.2862225069745628,1.2442097283858689,1.0500847617369289
2022-10-07,2.110338460679355,1.0427376911848594,1.1358340796998392,1.118542684170262,1.0362966292453304,1.2767275189036746,1.2390304913509367,1.0447282072701747
2022-10-11,2.071866075489487,1.0250063937603004,1.1155879232266876,1.099177195744343,1.0175317001873851,1.2618861039008544,1.220699922003408,1.0243882058080058
2022-10-12,2.0638597127036964,1.0222703443022867,1.109702712328789,1.0953502802342587,1.0149352213691376,1.2578166386529734,1.2199067515528643,1.0200879053439065
2022-10-13,2.0459236636385576,1.014055613008546,1.1010249873339069,1.0851902057368696,1.0070083865310473,1.2489304438238904,1.2106414647088644,1.0095198989426817
2022-10-14,2.089308954173405,1.0346968892313027,1.122089141352506,1.1103987270544189,1.0276370279421125,1.2715527158821833,1.2333831715485182,1.0292219999834786
2022-10-17,2.071461001039052,1.025042995685023,1.1168157519954247,1.0989145506539932,1.0183533227816453,1.263081375802009,1.2246255030949118,1.0214113667482996
2022-10-18,2.098862867722705,1.0380202329648924,1.1243213491576147,1.1156496463189045,1.031487852371193,1.2761395897205372,1.234671536305478,1.0329665267805486
2022-10-19,2.103177692132306,1.0393300028139796,1.1241595390152408,1.1219073123129917,1.03238391482765,1.28316193278281,1.2387272542768868,1.036770371630347
2022-10-20,2.0888019341137682,1.0332374493929513,1.1218387941300771,1.1143215374689157,1.025642703501833,1.2783732314614589,1.2327311062125523,1.0300619614880275
2022-10-21,2.0752140014183187,1.026908256721396,1.1090087904284973,1.1092045702176092,1.0196679656861352,1.2714644602320682,1.2248553945188376,1.0251603412859316
2022-10-24,2.0788694841643713,1.0259835896056146,1.1101625227472853,1.1085598329898732,1.01932729198129,1.2714584132257152,1.221256624886386,1.022820380982334
2022-10-25,2.0956064087945836,1.038105828650546,1.1196134126579216,1.122678967120415,1.0318318800258115,1.283762925050019,1.2339265487661817,1.034799087166487
2022-10-26,2.106568685957803,1.043074193254915,1.1235227274626398,1.125319202799336,1.036112573894653,1.2795305315701937,1.2404085656343666,1.0381580344085541
2022-10-27,2.0956812484425504,1.0336188340642487,1.1199251867154554,1.115954109723513,1.025201877124004,1.2696689539637902,1.2303013241861183,1.0306824686826952
2022-10-28,2.086353858994798,1.029766286809977,1.1153726854442523,1.1102394331031518,1.0212947291307193,1.2609678474764092,1.2254004687744031,1.025381497539485
2022-10-31,2.1156106058339392,1.0503047601992608,1.1384186170168689,1.135052571464844,1.0418625670453576,1.27499567308299,1.2454995407675566,1.0434875712928822
2022-11-01,2.1202988997253485,1.0475670696822401,1.1353147355007873,1.1302127369863668,1.038401359812083,1.2874925877364358,1.2371276084279368,1.0512413907531002
2022-11-02,2.1187343358256308,1.0492104471132986,1.1370957676346403,1.13165268953775,1.0394044569343015,1.2950041247857407,1.2457019700059688,1.0531197485634745
2022-11-04,2.0981212075222038,1.04287850971074,1.1302334463137018,1.127202240639617,1.0328493436529884,1.3012010795006337,1.2415815131728078,1.0503617867900776
2022-11-07,2.115179086513444,1.0477589563457141,1.135522695222788,1.1299228577806237,1.036472001532429,1.3104246558716173,1.2468354032458187,1.0499028192716902
2022-11-08,2.13543756009901,1.055614346866274,1.1440360791093298,1.136182666468039,1.044692707808238,1.318773324718108,1.2530813117744357,1.0572244306205159
2022-11-09,2.134293138294663,1.0543150696257428,1.1426279701305673,1.1387874054662883,1.0436132330876873,1.3287704011632204,1.2578538522512643,1.0586868075799472
2022-11-10,2.1234936536312734,1.0542313339301521,1.142537220457498,1.139926448289197,1.049726009501759,1.3206537161038179,1.254353407421245,1.0565691269573216
2022-11-11,2.156478594123937,1.0621189438605376,1.1510855225576828,1.1522037348307341,1.0548119803505822,1.3247471685304806,1.2627657589085584,1.061312743083185
2022-11-14,2.137672144578132,1.0453799881360837,1.1329444568055564,1.136302755887666,1.0374755055302938,1.3107886814777037,1.2525437974451508,1.0487083742412768
2022-11-15,2.1472967499044335,1.0505968111954669,1.1385982581355416,1.1424214883341368,1.0405549735360806,1.3218968823172084,1.2564874544449043,1.0545696877965036
2022-11-16,2.1524377005921043,1.0519164883838363,1.14002847582892,1.1460036611491267,1.0409864715854669,1.3229381013175707,1.2567052236658158,1.0575288185767389
2022-11-17,2.160871168159257,1.0557209271992818,1.144151586961839,1.1501837957280836,1.045750251438798,1.3221394781618636,1.2644552293438955,1.0603330379793139
2022-11-18,2.165908196120538,1.0595453546847655,1.1482963610815917,1.1542369361804465,1.0507597452357966,1.323607321546641,1.2704969780505129,1.0655361028334467
2022-11-21,2.175239067917386,1.0645467361460246,1.1537166747160688,1.1608472180641367,1.05484748576048,1.3343398527559875,1.2788625737634942,1.0709616565988187
